form	wsafter
és	" "
heves	" "
az	" "
ellenállás	""
.	" "

Már	" "
vizsgálják	" "
azt	" "
is	""
,	" "
nem	" "
sérti	""
-e	" "
az	" "
EU-jogot	" "
a	" "
törvény	""
.	" "

Nemcsak	" "
elvont	" "
ideákról	" "
van	" "
itt	" "
szó	""
.	" "

Felmerült	""
,	" "
hogy	" "
a	" "
magyar	" "
szabályozás	" "
beletenyerel	" "
az	" "
uniós	" "
belső	" "
piac	" "
működésébe	""
,	" "
a	" "
vállalkozás	" "
szabadságába	" "
is	" "
azzal	""
,	" "
hogy	" "
a	" "
média-	" "
vagy	" "
a	" "
reklámcégeknek	" "
aránytalanul	" "
szigorú	" "
korlátozásokat	" "
ír	" "
elő	""
.	" "

A	" "
közös	" "
és	" "
határozott	" "
fellépést	" "
támogatja	""
,	" "
hogy	" "
–	" "
szemben	" "
például	" "
a	" "
migrációval	" "
–	" "
a	" "
szexuális	" "
kisebbségek	" "
elfogadása	" "
ügyében	" "
sokkal	" "
nagyobb	" "
a	" "
társadalmi	" "
összhang	" "
Nyugat-Európában	""
,	" "
ahol	" "
a	" "
jobboldalon	" "
is	" "
teljesen	" "
szalonképtelennek	" "
számít	" "
már	" "
az	" "
új	" "
magyar	" "
törvényben	" "
megjelenő	" "
homofóbia	""
.	" "

Volt	" "
is	" "
rá	" "
példa	""
,	" "
hogy	" "
hasonló	" "
dolog	" "
miatt	" "
büntetett	" "
az	" "
EU	""
:	" "
azokat	" "
a	" "
lengyel	" "
városokat	" "
kizárták	" "
az	" "
uniós	" "
pénzosztásól	""
,	" "
amelyek	" "
LMBTQ-mentes	" "
övezeteket	" "
vezettek	" "
be	" "
–	" "
emlékeztetett	" "
a	" "
444	" "
a	" "
törvényről	" "
szóló	" "
elemzésében	""
.	" "

Az	" "
EU	" "
esélyegyenlőségi	" "
biztosa	" "
azt	" "
nyilatkozta	""
,	" "
hogy	" "
a	" "
magyar	" "
törvény	" "
után	" "
is	" "
jöhet	" "
hasonló	" "
szankció	""
,	" "
és	" "
mivel	" "
itt	" "
a	" "
teljes	" "
államra	" "
vonatkozik	" "
a	" "
kifogásolt	" "
lépés	""
,	" "
ez	" "
potenciálisan	" "
akár	" "
nagyobb	" "
volumenű	" "
elvonást	" "
is	" "
jelenthet	""
.	"\n\n"

Az	" "
uniós	" "
fellépés	" "
esélyeit	" "
latolgatva	" "
azt	" "
is	" "
számításba	" "
kell	" "
vennünk	""
,	" "
hogy	" "
Magyarországon	" "
jövőre	" "
választások	" "
lesznek	""
,	" "
és	" "
az	" "
uniós	" "
kormányfők	" "
között	" "
szép	" "
számmal	" "
vannak	" "
olyanok	""
,	" "
akiknek	" "
az	" "
orbáni	" "
politika	" "
valamivel	" "
már	" "
rálépett	" "
a	" "
tyúkszemére	""
.	" "

Nekik	" "
érdekük	" "
lehet	" "
a	" "
magyar	" "
kormányt	" "
kellemetlen	" "
helyzetbe	" "
hozó	" "
(	""
és	" "
ezáltal	" "
a	" "
Fidesz-KDNP	" "
választási	" "
esélyeit	" "
rontó	""
)	" "
intézkedések	" "
áttolása	""
.	" "

Más	" "
kérdés	""
,	" "
hogy	" "
az	" "
uniós	" "
döntéshozatal	" "
sajátosságai	" "
miatt	" "
Orbánék	" "
néhány	" "
maradék	" "
szövetségese	" "
(	""
pl.	" "
a	" "
melegellenes	" "
kérdésben	" "
Lengyelország	""
,	" "
Szlovénia	" "
vagy	" "
Csehország	""
)	" "
blokkolhat	" "
közös	" "
döntést	" "
igénylő	" "
folyamatokat	""
.	"\n\n"

Fokozódik	" "
a	" "
hőség	""
,	" "
kedden	" "
akár	" "
melegrekord	" "
is	" "
dőlhet	""
,	" "
majd	" "
szerdán	" "
hidegfront	" "
érkezik	""
,	" "
ami	" "
mérsékli	" "
majd	" "
a	" "
hőséget	""
.	" "

Úgy	" "
tűnik	" "
a	" "
mérsékelten	" "
meleg	" "
idő	" "
tartósabban	" "
is	" "
a	" "
vendégünk	" "
marad	""
.	"\n\n"

Szerda	" "
éjfélig	" "
érvényes	" "
hőségriasztást	" "
rendelt	" "
el	" "
Müller	" "
Cecília	" "
hétfő	" "
déltől	""
,	" "
írja	" "
az	" "
MTI	""
.	" "

A	" "
tisztifőorvos	" "
az	" "
OMSZ	" "
előrejelzései	" "
alapján	" "
döntött	" "
a	" "
másodfokú	" "
intézkedés	" "
mellett	" "
az	" "
ország	" "
egész	" "
területére	""
.	" "

A	" "
hőségriasztást	" "
akkor	" "
rendeli	" "
el	""
,	" "
ha	" "
a	" "
napi	" "
középhőmérséklet	" "
várhatóan	" "
legalább	" "
három	" "
egymást	" "
követő	" "
napon	" "
eléri	" "
vagy	" "
meghaladja	" "
a	" "
25	" "
fokot	""
.	"\n\n"

A	" "
hőségre	" "
tekintettel	" "
és	" "
a	" "
WHO	" "
ajánlásait	" "
követve	" "
a	" "
tisztifőorvos	" "
javasolta	" "
az	" "
áram-	" "
és	" "
vízellátás	" "
zavartalan	" "
fenntartását	""
,	" "
a	" "
programozott	" "
karbantartások	" "
elnapolását	""
.	"\n\n\n"

A	" "
Nemzeti	" "
Népegészségügyi	" "
Központ	" "
és	" "
az	" "
Országos	" "
Katasztrófavédelmi	" "
Főigazgatóság	" "
közös	" "
közleményükben	" "
arra	" "
hívták	" "
fel	" "
az	" "
emberek	" "
figyelmét	""
,	" "
hogy	" "
a	" "
nagy	" "
melegben	" "
több	" "
folyadékot	" "
kell	" "
fogyasztani	""
,	" "
és	" "
11	" "
és	" "
15	" "
óra	" "
között	" "
semmiképpen	" "
ne	" "
tartózkodjanak	" "
a	" "
tűző	" "
napon	""
.	" "

Javasolták	""
,	" "
a	" "
szabadban	" "
dolgozók	" "
megfelelő	" "
öltözékkel	" "
és	" "
napvédő	" "
készítményekkel	" "
védjék	" "
bőrüket	" "
a	" "
leégés	" "
ellen	""
.	"\n\n"

Az	" "
Országos	" "
Meteorológiai	" "
Szolgálat	" "
azt	" "
írja	""
,	" "
tovább	" "
fokozódik	" "
a	" "
hőség	""
,	" "
szerdáig	" "
dél	" "
felől	" "
afrikai	" "
eredetű	" "
meleg	" "
levegő	" "
áramlik	" "
folyamatosan	" "
a	" "
Kárpát-medencébe	""
.	" "

Keddre	" "
már	" "
harmadfokú	" "
figyelmeztető	" "
előrejelzés	" "
van	" "
érvényben	" "
a	" "
hőségre	" "
vonatkozóan	""
,	" "
a	" "
déli	" "
megyékben	" "
a	" "
napi	" "
középhőmérséklet	" "
arrafelé	" "
a	" "
29	" "
fokot	" "
is	" "
meghaladhatja	""
.	" "

A	" "
délutáni	" "
csúcsérték	" "
pedig	" "
37	""
,	" "
38	" "
fok	" "
körül	" "
alakul	""
,	" "
ami	" "
egy	" "
kis	" "
izgalmat	" "
is	" "
tartogat	""
,	" "
hiszen	" "
erre	" "
a	" "
napra	" "
vonatkozóan	" "
(	""
06.	" "
29)	" "
a	" "
napi	" "
országos	" "
maximum-hőmérsékleti	" "
rekord	" "
37,9	" "
fok	""
,	" "
amit	" "
előreláthatólag	" "
elérünk	""
,	" "
vagy	" "
akár	" "
meg	" "
is	" "
haladhatjuk	""
.	"\n\n"

